EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   _1,TYPE  ,MAG 
705902,ke  ,ISC      ,11/13/1976,10:11:18 AM,28.3487,56.8357,31,TRUE,NEIS     ,mb    ,4.5
705903,ke  ,ISC      ,11/13/1976,10:12:36 AM,28.1842,57.3242,46.7,,ISC      ,mb    ,5
704201,ke  ,ISC      ,12/1/1976,11:59:32 AM,26.9147,55.055,17,TRUE,ISC      ,mb    ,4.5
704548,ke  ,ISC      ,12/9/1976,8:02:17 PM,26.9114,56.359,10,TRUE,ISC      ,mb    ,4.4
705072,ke  ,ISC      ,12/23/1976,2:17:46 PM,28.0909,54.189,26,TRUE,ISC      ,mb    ,4.4
703164,de  ,ISC      ,1/5/1977,5:44:42 AM,27.4564,56.3195,30.6,,ISC      ,mb    ,5.5
702469,ke  ,ISC      ,2/16/1977,12:32:45 AM,28.2594,54.533,10,TRUE,         ,      ,
701441,de  ,ISC      ,3/21/1977,9:18:54 PM,27.5585,56.3962,19,,ISC      ,mb    ,6.3
701442,ke  ,ISC      ,3/21/1977,9:33:18 PM,27.5391,56.4682,18,TRUE,ISC      ,mb    ,5.2
701443,ke  ,ISC      ,3/21/1977,9:41:26 PM,27.2409,56.6969,35,TRUE,ISC      ,mb    ,4.8
